Linha	Total	Média dos dias úteis	Média dos Sábados	Média dos Domingos	Máxima Diária	Mês
3	32650,0	1474,0	824,0	479,0	1526,0	2017-04
3	37870,0	1449,0	903,0	469,0	1494,0	2017-05
3	35247,0	1405,0	856,0	520,0	1471,0	2017-06
3	33860,0	1293,0	842,0	499,0	1361,0	2017-07
3	37747,0	1414,0	855,0	452,0	1449,0	2017-08
3	35400,0	1454,0	830,0	493,0	1476,0	2017-09
3	36496,0	1455,0	835,0	485,0	1532,0	2017-10
3	35010,0	1475,0	860,0	532,0	1517,0	2017-11
3	34120,0	1364,0	878,0	516,0	1499,0	2017-12
3	29999,0	1196,0	748,0	439,0	1309,0	2018-01
3	31820,0	1385,0	911,0	555,0	1457,0	2018-02
3	37387,0	1467,0	823,0	501,0	1505,0	2018-03
3	36247,0	1471,0	883,0	482,0	1530,0	2018-04
3	37542,0	1455,0	900,0	559,0	1508,0	2018-05
3	35392,0	1423,0	842,0	527,0	1508,0	2018-06
3	33836,0	1317,0	829,0	518,0	1369,0	2018-07
3	38679,0	1440,0	884,0	504,0	1483,0	2018-08
3	35197,0	1457,0	870,0	515,0	1544,0	2018-09
3	38145,0	1460,0	854,0	505,0	1527,0	2018-10
3	35008,0	1493,0	864,0	523,0	1571,0	2018-11
3	34178,0	1399,0	933,0	573,0	1552,0	2018-12
3	31644,0	1230,0	736,0	475,0	1332,0	2019-01
3	33962,0	1420,0	864,0	526,0	1492,0	2019-02
3	36165,0	1470,0	890,0	556,0	1507,0	2019-03
3	36898,0	1477,0	861,0	492,0	1511,0	2019-04
3	38229,0	1461,0	893,0	495,0	1507,0	2019-05
3	32737,0	1411,0	856,0	458,0	1477,0	2019-06
3	34013,0	1294,0	830,0	481,0	1329,0	2019-07
3	37379,0	1424,0	837,0	468,0	1458,0	2019-08
3	36261,0	1447,0	850,0	495,0	1504,0	2019-09
3	38994,0	1454,0	909,0	520,0	1513,0	2019-10
3	35360,0	1463,0	892,0	506,0	1513,0	2019-11
3	33225,0	1332,0	924,0	557,0	1479,0	2019-12
3	31597,0	1213,0	721,0	428,0	1319,0	2020-01
3	31992,0	1382,0	860,0	528,0	1451,0	2020-02
3	24332,0	939,0	511,0	325,0	1478,0	2020-03
3	7984,0	323,0	189,0	117,0	362,0	2020-04
3	8889,0	369,0	215,0	127,0	385,0	2020-05
3	11542,0	448,0	272,0	152,0	494,0	2020-06
3	14675,0	546,0	359,0	182,0	593,0	2020-07
3	15807,0	610,0	398,0	202,0	660,0	2020-08
3	17121,0	671,0	453,0	233,0	698,0	2020-09
3	18881,0	722,0	482,0	252,0	759,0	2020-10
3	18956,0	754,0	538,0	289,0	798,0	2020-11
3	19256,0	758,0	512,0	283,0	839,0	2020-12
3	17091,0	706,0	401,0	241,0	750,0	2021-01
3	17626,0	746,0	463,0	256,0	772,0	2021-02
3	14996,0	599,0	310,0	172,0	779,0	2021-03
3	13943,0	578,0	323,0	184,0	664,0	2021-04
3	16848,0	669,0	451,0	233,0	695,0	2021-05
3	17862,0	693,0	471,0	230,0	725,0	2021-06
3	18695,0	711,0	475,0	246,0	747,0	2021-07
3	20129,0	766,0	495,0	259,0	801,0	2021-08
3	20704,0	819,0	535,0	289,0	868,0	2021-09
3	21708,0	858,0	574,0	299,0	907,0	2021-10
3	22937,0	918,0	639,0	367,0	939,0	2021-11
